blok,nomor,tipe,catatan
AA,01,30/60,RUMAH TEKNIK
AA,02,30/60,RUMAH ADMIN
AA,03,30/60,RUMAH CONTOH
AA,04,30/60,RUMAH CONTOH
AD,15,30/60,
AD,16,30/60,
BB,1,30+/78,
BB,2,30+/60,
BB,3,30+/60,
BB,4,30+/60,
CB,10,30/60,
CC,10,30/60,
CD,9,30/60,
DA,7,30/60,
DB,5,30/60,
DB,7,30/60,
DB,17,30/60,
DB,18,30/60,
DC,10,30/60,
DD,1,30/60,
AA,05,30/60,
AA,06,30/60,
AA,07,30/60,
AA,08,30/60,
AA,09,30/60,
AA,10,30/60,
AA,11,30/60,
AA,12,30/60,
AA,13,30/60,
AA,14,30/60,
AA,15,30/60,
AA,16,21/78,
AA,17,21/78,
AA,18,30/60,
AA,19,30/60,
AA,20,30/60,
AA,21,30/60,
AA,22,30/60,
AA,23,30/60,
AA,24,30/60,
AA,25,30/60,
AA,26,30/60,
AA,27,30/60,
AA,28,30/60,
AA,29,30/60,
AA,30,30/60,
AA,31,30/60,
AA,32,30/60,
AB,01,21/78,
AB,15,21/78,
AC,01,21/78,
AC,14,21/78,
AE,01,21/78,
AE,14,21/78,
AF,01,21/78,
AF,06,21/78,
AG,01,21/78,
AG,04,21/78,
BA,01,30/60,
BA,02,30/60,
BA,03,30/60,
BA,04,30/60,
BB,06,21/78,
BB,07,30/60,
BB,08,30/60,
BB,09,30/60,
BC,01,21/78,
BC,02,30/60,
BC,03,30/60,
BC,04,30/60,
BC,06,21/78,
BC,07,30/60,
BC,08,30/60,
BC,09,30/60,
CB,01,21/78,
CB,14,21/78,
CC,01,21/78,
CC,15,21/78,
CD,01,21/78,
CD,15,21/78,
